title,genres
1066 (2009),Action|Adventure|War
13 Rue Madeleine (1947),Thriller|War
2 Days in the Valley (1996),Crime|Film-Noir
2012 (2009),Action|Drama|Sci-Fi|Thriller
27 Dresses (2008),Comedy|Romance
"300 Spartans, The (1962)",Adventure|Drama|War
"40-Year-Old Virgin, The (2005)",Comedy|Romance
48 Shades (2006),Comedy|Drama
6 Bullets (2012),Action|Crime|Thriller
6 Days to Air: The Making of South Park (2011),Documentary
7 Dollars on the Red (Sette dollari sul rosso) (1966),Western
9 1/2 Weeks (Nine 1/2 Weeks) (1986),Drama|Romance
AM1200 (2008),Horror
Abelar: Tales of an Ancient Empire (Tales of an Ancient Empire) (2010),Fantasy
Abigail's Party (1977),Drama
"Abominable Dr. Phibes, The (1971)",Horror|Mystery
About Alex (2014),Drama
Absolute Aggression (2004),Action|Sci-Fi|Thriller
Accident on Hill Road (2010),Crime|Drama|Thriller
Adam & Paul (2004),Comedy|Drama
Addicted to Plastic (2008),Documentary
Adventure in Baltimore (1949),Comedy|Drama
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",Adventure|Children|Comedy|Drama
Afterschool (2008),Drama
Air Doll (Kûki ningyô) (2009),Drama
Air Force (1943),Action|Drama|War
Air Force One (1997),Action|Thriller
Aladdin (1992),Adventure|Animation|Children|Comedy|Fantasy
Alias the Doctor (1932),Drama
All the President's Men (1976),Drama|Thriller
Alvin and the Chipmunks: Chipwrecked (2011),Animation|Comedy
Always (1989),Drama|Fantasy|Romance
"Amazing Transparent Man, The (1960)",Sci-Fi
Amer (2009),Drama|Horror
American Drug War: The Last White Hope (2007),Crime|Documentary
American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006),Comedy|Romance
"Amish Murder, An (2013)",Action|Crime|Drama
Anaconda (1997),Action|Adventure|Thriller
"Andromeda Strain, The (1971)",Mystery|Sci-Fi
"Angel Levine, The (1970)",Comedy|Drama
"Angel at My Table, An (1990)",Drama
Anna Karenina (1997),Drama|Romance
Anna and the King (1999),Drama|Romance
Anne of the Thousand Days (1969),Drama
Another Man's Poison (1952),Crime|Drama
Army Brats (Schatjes!) (1984),Children|Comedy
Arnold (1973),Comedy|Horror
"Art of War III: Retribution, The (2009)",Action|Thriller
"Artist and the Model, The (El artista y la modelo) (2012)",Drama
Asphalt (1929),Drama
Asterix in Britain (Astérix chez les Bretons) (1986),Adventure|Animation|Children|Comedy
August Mordum's Underground (2003),Horror
"Autumn Tale, An (Conte d'automne) (1998)",Romance
Avalon (1990),Drama
"Awful Dr. Orlof, The (Gritos en la Noche) (1962)",Horror|Thriller
Aya of Yop City (2013),Animation|Comedy
Babbitt (1934),Drama
Bad Blood (Mauvais sang) (1986),Crime|Drama|Romance
Bad Company (2002),Action|Comedy|Crime
Bad Milo (Bad Milo!) (2013),Comedy|Horror
Bad Taste (1987),Comedy|Horror|Sci-Fi
"Barber of Siberia, The (Sibirskij tsiryulnik) (1998)",Drama|Romance
"Baron Blood (Orrori del castello di Norimberga, Gli) (1972)",Horror
"Bat Whispers, The (1930)",Crime|Drama|Mystery
"Batman/Superman Movie, The (1998)",Action|Adventure|Animation|Children|Fantasy|Sci-Fi
Batman: Gotham Knight (2008),Action|Animation|Crime
Battle Circus (1953),Drama|Romance|War
Battle for Brooklyn (2011),Documentary
"Battle of the Sexes, The (1959)",Comedy
"Beast of Yucca Flats, The (1961)",Horror|Sci-Fi
"Beast, The (La bête) (1975)",Drama|Fantasy|Horror|Mystery|Romance
Beautiful Joe (2000),Comedy|Drama|Romance
Beauty and the Beast (La belle et la bête) (1946),Drama|Fantasy
Bel Ami (2012),Drama|Romance
"Bell for Adano, A (John Hersey's A Bell for Adano) (1945)",Drama|War
"Benchwarmers, The (2006)",Comedy
"Best Offer, The (Migliore offerta, La) (2013)",Thriller
Between Strangers (2002),Drama
Beyond the Mind's Eye (1992),Animation|Comedy
"Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971)",Action|Thriller
Big Boys Gone Bananas!* (2011),Documentary
Big Buck Bunny (2008),Animation|Comedy
Big Jim McLain (1952),Action|Crime|Drama|Romance|Thriller
Big Stan (2007),Comedy
Bikes vs Cars (2015),Documentary
"Bingo Long Traveling All-Stars & Motor Kings, The (1976)",Comedy
Bird (1988),Drama|Musical
Bird of Prey (1996),Action
"Birder's Guide to Everything, A (2013)",Comedy
Birdman of Alcatraz (1962),Drama
Bitter Rice (Riso amaro) (1949),Drama
Black Caesar (1973),Crime|Drama
Black Fury (1935),Crime|Drama|Romance
Black Mask (Hak hap) (1996),Action|Adventure|Crime|Sci-Fi|Thriller
"Black Orchid, The (1958)",Drama
Blackout (Contraband) (1940),Adventure|Romance
Blacula (1972),Horror
"Blade, The (Dao) (1995)",Action|Drama
Blessed Event (1932),Comedy|Drama
Blind Fury (1989),Action|Thriller
Blood and Chocolate (2007),Drama|Fantasy|Horror|Romance
Blood: The Last Vampire (2009),Action|Horror|Thriller
Bob's Birthday (1994),(no genres listed)
Body Bags (1993),Comedy|Horror|Sci-Fi|Thriller
"Book of Life, The (2014)",Adventure|Animation|Romance
Born Rich (2003),Documentary
Born Yesterday (1993),Comedy|Romance
Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
Bottled Up (2013),Comedy|Drama
Boudu Saved From Drowning (Boudu sauvé des eaux) (1932),Comedy
Bowery at Midnight (1942),Action|Comedy|Horror
Boys Life 2 (1997),Drama
"Brady Bunch Movie, The (1995)",Comedy
"Break-Up, The (2006)",Comedy|Drama|Romance
Breakin' (1984),Drama|Musical
Breaking the Rules (1992),Comedy|Drama
Breakout (2013),Action
Broadway Melody of 1938 (1937),Musical|Romance
